cluster_detailed,p_tweets_frac
0.0,2.6386424694073045
1.0,4.6048970506399565
2.0,8.192255302588054
3.1,15.6422477988732
3.2,15.946269943552096
4.0,24.02650635332696
5.0,35.816489031294616
6.0,51.820010634856295
